activity_id,sport_type,timestamp,latitude,longitude,heart_rate,duration_seconds
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:04+00:00,-8.04709,-34.95071765,93.0,90.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:05+00:00,-8.04712867,-34.95072265,94.0,91.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:06+00:00,-8.04716734,-34.95072831,93.0,92.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:07+00:00,-8.04720666,-34.95073297,93.0,93.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:08+00:00,-8.04724698,-34.95073797,93.0,94.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:09+00:00,-8.04728598,-34.95074396,93.0,95.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:10+00:00,-8.04732497,-34.95074963,93.0,96.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:11+00:00,-8.0473653,-34.95075562,94.0,97.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:12+00:00,-8.0474053,-34.95075829,94.0,98.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:13+00:00,-8.04744496,-34.95076195,94.0,99.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:14+00:00,-8.04748629,-34.95076328,94.0,100.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:15+00:00,-8.04752928,-34.95076328,94.0,101.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:16+00:00,-8.04757594,-34.95076195,93.0,102.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:17+00:00,-8.04761594,-34.95076594,93.0,103.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:18+00:00,-8.04765427,-34.95077161,92.0,104.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:19+00:00,-8.04769092,-34.95077728,91.0,105.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:20+00:00,-8.04772859,-34.95078261,91.0,106.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:21+00:00,-8.04776658,-34.95078927,91.0,107.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:22+00:00,-8.04780525,-34.95079526,91.0,108.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:23+00:00,-8.04784424,-34.95079992,91.0,109.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:24+00:00,-8.04788323,-34.95080526,91.0,110.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:25+00:00,-8.04792122,-34.95081026,92.0,111.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:26+00:00,-8.04795788,-34.95081559,92.0,112.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:27+00:00,-8.04799387,-34.95081958,92.0,113.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:28+00:00,-8.04802887,-34.95082391,92.0,114.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:29+00:00,-8.04806353,-34.95082857,92.0,115.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:30+00:00,-8.0480972,-34.95083156,92.0,116.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:31+00:00,-8.04813185,-34.95083455,92.0,117.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:32+00:00,-8.04816819,-34.95083788,92.0,118.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:33+00:00,-8.04820518,-34.95084221,93.0,119.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:34+00:00,-8.04824083,-34.95084654,94.0,120.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:35+00:00,-8.04827583,-34.9508502,94.0,121.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:36+00:00,-8.04831149,-34.95085152,95.0,122.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:37+00:00,-8.04834616,-34.95085152,96.0,123.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:38+00:00,-8.04837848,-34.9508512,96.0,124.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:39+00:00,-8.0484088,-34.9508512,96.0,125.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:40+00:00,-8.04843846,-34.95085185,96.0,126.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:41+00:00,-8.04846713,-34.95085519,97.0,127.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:42+00:00,-8.04849078,-34.95086418,97.0,128.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:43+00:00,-8.04850945,-34.95087784,98.0,129.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:44+00:00,-8.04852345,-34.95089483,98.0,130.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:45+00:00,-8.04853211,-34.95091482,98.0,131.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:46+00:00,-8.04853611,-34.95093881,98.0,132.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:47+00:00,-8.04853444,-34.95096748,98.0,133.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:48+00:00,-8.04853212,-34.95099847,98.0,134.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:49+00:00,-8.04853179,-34.95102979,98.0,135.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:50+00:00,-8.04853212,-34.95106245,98.0,136.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:51+00:00,-8.04853378,-34.95109578,98.0,137.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:52+00:00,-8.04853611,-34.95112977,98.0,138.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:53+00:00,-8.0485371,-34.95116511,98.0,139.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:54+00:00,-8.04853677,-34.9512021,98.0,140.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:55+00:00,-8.04853444,-34.95123975,97.0,141.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:56+00:00,-8.04853111,-34.95127975,97.0,142.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:57+00:00,-8.04852812,-34.95131941,97.0,143.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:58+00:00,-8.04852646,-34.95135907,97.0,144.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:36:59+00:00,-8.04852514,-34.95139807,98.0,145.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:00+00:00,-8.0485238,-34.95143439,98.0,146.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:01+00:00,-8.04852248,-34.95147039,98.0,147.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:02+00:00,-8.04852082,-34.95150672,97.0,148.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:03+00:00,-8.04851882,-34.95154371,97.0,149.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:04+00:00,-8.04851549,-34.95158105,97.0,150.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:05+00:00,-8.0485125,-34.9516147,97.0,151.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:06+00:00,-8.04850884,-34.95165003,97.0,152.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:07+00:00,-8.04850385,-34.95168702,99.0,153.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:08+00:00,-8.04849719,-34.95172602,97.0,154.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:09+00:00,-8.04848853,-34.95176267,97.0,155.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:10+00:00,-8.04847854,-34.95179601,97.0,156.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:11+00:00,-8.04846788,-34.95182934,96.0,157.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:12+00:00,-8.04845589,-34.951861,96.0,158.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:13+00:00,-8.0484439,-34.95189633,97.0,159.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:14+00:00,-8.0484349,-34.95193165,98.0,160.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:15+00:00,-8.0484259,-34.95196465,98.0,161.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:16+00:00,-8.0484189,-34.95200264,98.0,162.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:17+00:00,-8.04841357,-34.95203831,99.0,163.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:18+00:00,-8.04840891,-34.95207364,99.0,164.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:19+00:00,-8.04840459,-34.95210863,99.0,165.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:20+00:00,-8.04840192,-34.95214763,100.0,166.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:21+00:00,-8.0484006,-34.9521863,100.0,167.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:22+00:00,-8.04840027,-34.95222297,100.0,168.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:23+00:00,-8.04839894,-34.95226163,100.0,169.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:24+00:00,-8.04839694,-34.95229996,100.0,170.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:25+00:00,-8.04839494,-34.95233896,102.0,171.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:26+00:00,-8.04839362,-34.95237796,109.0,172.0
2023-03-07T22:33:57Z,ride,2023-03-07 22:37:27+00:00,-8.04839494,-34.95241495,110.0,173.0
