,Unnamed: 0,Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Max Speed,Average Speed,Calories,data_ano,data_mes,tempo_min
451,451,6565959119,"Jan 20, 2022, 10:14:49 PM",Corrida na UFPE,Run,,2008,4.47,188.0,2.746331214904785,2.65572452545166,444.2138977050781,2022,1,33.46666666666667
452,452,6565959628,"Jan 22, 2022, 9:55:07 PM",Caminhada de aquecimento,Walk,,676,1.05,140.0,1.9616729021072388,1.5567518472671509,96.9760284423828,2022,1,11.266666666666667
453,453,6565959926,"Jan 22, 2022, 10:06:49 PM",Corrida na UFPE,Run,,2411,5.53,192.0,2.948028087615967,2.741546630859375,553.44970703125,2022,1,40.18333333333333
454,454,6571693822,"Jan 23, 2022, 8:09:32 PM",Caminhada acompanhando Davi no patinete,Walk,,2744,4.1,184.0,3.50281310081482,1.4967083930969238,378.4613952636719,2022,1,45.73333333333333
455,455,6637401374,"Feb 5, 2022, 9:45:33 PM",Caminhada noturna na UFPE,Walk,,2948,4.81,,5.739999771118164,1.6329715251922607,443.6149291992188,2022,2,49.13333333333333
456,456,6641015381,"Feb 6, 2022, 2:21:07 PM",Caminhada de ReposiÃÂ§ÃÂ£o de Vitamina D,Walk,,3113,4.06,132.0,2.780730962753296,1.3173907995224,374.2731323242188,2022,2,51.88333333333333
457,457,6657755142,"Feb 9, 2022, 7:09:11 PM",Caminhada na UFPE,Walk,,2971,4.8,,4.199999809265137,1.6179063320159912,442.951416015625,2022,2,49.516666666666666
458,458,6668475559,"Feb 11, 2022, 10:38:31 PM",Caminhada de aquecimento,Walk,,819,1.22,168.0,1.9726938009262085,1.4991101026535034,113.1402359008789,2022,2,13.65
459,459,6668475769,"Feb 11, 2022, 10:52:31 PM",Corrida na UFPE,Run,,2042,4.37,185.0,2.722229480743408,2.475247383117676,428.4100036621094,2022,2,34.03333333333333
460,460,6689318511,"Feb 15, 2022, 10:07:22 PM",Caminhada de aquecimento,Walk,,646,1.04,165.0,1.991144657135009,1.619154453277588,96.3871841430664,2022,2,10.766666666666667
461,461,6689318981,"Feb 15, 2022, 10:18:32 PM",Corrida na UFPE,Run,,2504,5.51,188.0,2.7794744968414307,2.5841667652130127,525.6293334960938,2022,2,41.73333333333333
462,462,6692367829,"Feb 16, 2022, 3:21:11 PM",Treino academia,Weight Training,,2592,0.0,131.0,0.0,0.0,,2022,2,43.2
463,463,6729097188,"Feb 18, 2022, 6:43:35 PM",Treino academia,Weight Training,,2846,0.0,173.0,0.0,0.0,,2022,2,47.43333333333333
464,464,6729097330,"Feb 21, 2022, 3:37:59 PM",Treino academia,Weight Training,,2207,0.0,127.0,0.0,0.0,,2022,2,36.78333333333333
465,465,6729097598,"Feb 23, 2022, 10:42:42 PM",Treino academia,Weight Training,,2535,0.0,140.0,0.0,0.0,,2022,2,42.25
466,466,6735759539,"Feb 24, 2022, 9:34:47 PM",Caminhada de aquecimento,Walk,,823,1.23,126.0,1.851722359657288,1.4974315166473389,113.56597137451172,2022,2,13.716666666666669
467,467,6735760344,"Feb 24, 2022, 9:48:58 PM",Corrida na UFPE,Run,,2534,5.54,188.0,2.975335597991944,2.5749101638793945,537.8208618164062,2022,2,42.23333333333333
468,468,6764155488,"Mar 2, 2022, 10:42:06 PM",Treino academia,Weight Training,,3239,0.0,169.0,0.0,0.0,,2022,3,53.98333333333333
469,469,6772028395,"Mar 4, 2022, 3:28:34 PM",Treino academia,Weight Training,,2819,0.0,125.0,0.0,0.0,,2022,3,46.98333333333333
470,470,6787710671,"Mar 7, 2022, 3:47:39 PM",Treino academia,Weight Training,,2895,0.0,123.0,0.0,0.0,,2022,3,48.25
471,471,6794753799,"Mar 8, 2022, 10:03:27 PM",Caminhada na UFPE,Walk,,3368,4.68,149.0,2.936177492141724,1.413425326347351,431.6435852050781,2022,3,56.13333333333333
472,472,6799809502,"Mar 9, 2022, 10:04:23 PM",Treino academia,Weight Training,,2762,0.0,141.0,0.0,0.0,,2022,3,46.03333333333333
473,473,6804961980,"Mar 10, 2022, 10:27:18 PM",Caminhada de aquecimento,Walk,,825,1.21,138.0,1.9126166105270384,1.475281000137329,112.15790557861328,2022,3,13.75
474,474,6804962320,"Mar 10, 2022, 10:41:32 PM",Corrida na UFPE,Run,,2430,5.51,191.0,2.8276126384735107,2.621610641479492,542.2164916992188,2022,3,40.5
475,475,6814426237,"Mar 12, 2022, 7:56:14 PM",Caminhada acompanhando Davi no patinete,Walk,,2032,3.7,183.0,3.5740880966186523,1.8246668577194207,341.67010498046875,2022,3,33.86666666666667
476,476,6830717823,"Mar 15, 2022, 10:24:37 PM",Caminhada de aquecimento,Walk,,696,1.07,108.0,1.8656147718429563,1.5407592058181765,98.8199691772461,2022,3,11.6
477,477,6830718012,"Mar 15, 2022, 10:36:37 PM",Corrida na UFPE,Run,,2907,6.28,186.0,2.8204896450042725,2.4138636589050293,615.439697265625,2022,3,48.45
478,478,6835764641,"Mar 16, 2022, 10:42:33 PM",Treino academia,Weight Training,,2895,0.0,177.0,0.0,0.0,,2022,3,48.25
479,479,6856468820,"Mar 18, 2022, 10:30:20 PM",Treino academia,Weight Training,,3312,0.0,149.0,0.0,0.0,,2022,3,55.2
480,480,6856469605,"Mar 19, 2022, 7:04:51 PM",Caminhada acompanhando Davi no patinete,Walk,,2001,2.27,132.0,1.8409868478775024,1.2781013250350952,209.8812713623047,2022,3,33.35
481,481,6872709156,"Mar 23, 2022, 10:43:14 PM",Caminhada noturna na UFPE,Walk,,3205,4.12,129.0,1.9375755786895752,1.4414503574371338,380.0298156738281,2022,3,53.41666666666666
482,482,6882526323,"Mar 25, 2022, 10:31:32 PM",Treino academia,Weight Training,,3403,0.0,161.0,0.0,0.0,,2022,3,56.71666666666667
483,483,6904194744,"Mar 29, 2022, 10:13:03 PM",Caminhada na UFPE,Walk,,3624,4.94,154.0,1.818509578704834,1.380130410194397,455.6876220703125,2022,3,60.4
484,484,6909123728,"Mar 30, 2022, 10:16:05 PM",Treino academia,Weight Training,,3422,0.0,177.0,0.0,0.0,,2022,3,57.03333333333333
485,485,6917440937,"Apr 1, 2022, 9:50:20 PM",Treino academia,Weight Training,,3391,0.0,142.0,0.0,0.0,,2022,4,56.516666666666666
486,486,6937882598,"Apr 5, 2022, 10:57:46 PM",Treino academia,Weight Training,,3639,0.0,175.0,0.0,0.0,,2022,4,60.65
487,487,6947300126,"Apr 7, 2022, 10:18:57 PM",Caminhada de aquecimento,Walk,,2110,2.94,134.0,1.6659419536590576,1.3961564302444458,271.4667053222656,2022,4,35.166666666666664
488,488,6947301781,"Apr 7, 2022, 10:55:31 PM",Corrida na UFPE,Run,,2179,4.7,175.0,2.862898111343384,2.492628574371338,457.2348327636719,2022,4,36.31666666666667
489,489,6951491237,"Apr 8, 2022, 10:15:19 PM",Treino academia,Weight Training,,3433,0.0,145.0,0.0,0.0,,2022,4,57.21666666666667
490,490,6977816851,"Apr 13, 2022, 9:56:31 PM",Treino academia,Weight Training,,3585,0.0,175.0,0.0,0.0,,2022,4,59.75
491,491,6982921483,"Apr 14, 2022, 10:16:20 PM",Caminhada de aquecimento,Walk,,864,1.32,141.0,2.000572919845581,1.533325433731079,122.08072662353516,2022,4,14.4
492,492,6982921889,"Apr 14, 2022, 10:31:09 PM",Corrida na praÃÂ§a do Engenho do Meio,Run,,2452,5.42,188.0,3.2132363319396973,2.689282894134521,528.7808837890625,2022,4,40.86666666666667
493,493,6993572253,"Apr 16, 2022, 7:26:43 PM",Caminhada acompanhando Davi no patinete,Walk,,3716,5.5,182.0,7.642974853515625,1.907952070236206,507.0636291503906,2022,4,61.93333333333333
494,494,7009629461,"Apr 19, 2022, 10:11:21 PM",Treino academia,Weight Training,,3355,0.0,153.0,0.0,0.0,,2022,4,55.91666666666666
495,495,7015206061,"Apr 20, 2022, 10:49:07 PM",Treino academia,Weight Training,,4085,0.0,180.0,0.0,0.0,,2022,4,68.08333333333333
496,496,7054566258,"Apr 22, 2022, 10:37:59 PM",Caminhada na UFPE,Walk,,2850,4.08,133.0,2.8175466060638428,1.4317452907562256,376.0193786621094,2022,4,47.5
497,497,7054566603,"Apr 26, 2022, 10:23:05 PM",Treino academia,Weight Training,,3790,0.0,169.0,0.0,0.0,,2022,4,63.16666666666666
498,498,7061802076,"Apr 29, 2022, 9:59:20 PM",Treino academia,Weight Training,,4121,0.0,184.0,0.0,0.0,,2022,4,68.68333333333334
499,499,7071212033,"May 1, 2022, 2:03:47 PM",Caminhada no Parque Santana,Walk,,3538,1.8,126.0,7.685367584228516,1.31533682346344,166.05702209472656,2022,5,58.96666666666667
500,500,7086484490,"May 3, 2022, 10:01:15 PM",Caminhada na UFPE,Walk,,2706,3.74,152.0,3.4232842922210693,1.3984378576278689,345.1073303222656,2022,5,45.1
501,501,7089631047,"May 4, 2022, 10:48:06 PM",Treino academia,Weight Training,,3939,0.0,158.0,0.0,0.0,,2022,5,65.65
502,502,7099601712,"May 6, 2022, 10:03:32 PM",Caminhada na UFPE,Walk,,1007,1.41,161.0,1.7816115617752075,1.4000757932662964,129.92184448242188,2022,5,16.783333333333335
503,503,7099618115,"May 6, 2022, 11:16:50 PM",Corrida na UFPE,Run,,890,2.2,181.0,2.841542959213257,2.4741768836975098,238.39463806152344,2022,5,14.833333333333334
504,504,7099618301,"May 6, 2022, 10:28:58 PM",Caminhada na UFPE,Walk,,2597,3.24,183.0,1.894275069236756,1.452452540397644,298.7415771484375,2022,5,43.28333333333333
505,505,7127705850,"May 11, 2022, 10:23:25 PM",Caminhada de aquecimento,Walk,,1403,2.01,142.0,1.9618752002716064,1.4368505477905271,185.76719665527344,2022,5,23.383333333333333
506,506,7127706825,"May 11, 2022, 10:47:45 PM",Corrida na UFPE,Run,,2054,4.39,185.0,2.7614128589630127,2.4397292137146,427.7096557617188,2022,5,34.233333333333334
507,507,7133028307,"May 12, 2022, 10:12:01 PM",Treino academia,Weight Training,,4499,0.0,161.0,0.0,0.0,,2022,5,74.98333333333333
508,508,7160413559,"May 14, 2022, 9:59:14 PM",Treino academia,Weight Training,,1253,2.02,136.0,1.914285659790039,1.6183559894561768,186.8656463623047,2022,5,20.883333333333333
509,509,7171334042,"May 14, 2022, 10:20:38 PM",Corrida na UFPE,Run,,1981,4.43,182.0,2.7768075466156006,2.6347479820251465,430.446533203125,2022,5,33.016666666666666
510,510,7171334289,"May 17, 2022, 10:11:41 PM",Treino academia,Weight Training,,3482,0.0,163.0,0.0,0.0,,2022,5,58.03333333333333
