latitude,longitude,elevation,timestamp,cad,distance,distance_cumulative
-8.045231,-34.939855,12.2,2020-07-14 22:38:43+00:00,56,1.042394934216475,187.2522107719574
-8.045239,-34.93986,12.2,2020-07-14 22:38:44+00:00,56,1.0423949292351988,188.2946057011926
-8.045247,-34.939866,12.2,2020-07-14 22:38:45+00:00,56,1.1046479156184055,189.39925361681102
-8.045255,-34.939871,12.2,2020-07-14 22:38:46+00:00,55,1.0423949176829779,190.441648534494
-8.045263,-34.939876,12.2,2020-07-14 22:38:47+00:00,55,1.0423949132308445,191.48404344772484
-8.045275,-34.939884,12.2,2020-07-14 22:38:48+00:00,55,1.5934210006506235,193.07746444837548
-8.045286,-34.939891,12.2,2020-07-14 22:38:49+00:00,54,1.4406259006239994,194.5180903489995
-8.045298,-34.939899,12.2,2020-07-14 22:38:50+00:00,54,1.5934209738947858,196.11151132289427
-8.045309,-34.939907,11.0,2020-07-14 22:38:51+00:00,54,1.5025532557963586,197.61406457869063
-8.04532,-34.939914,11.0,2020-07-14 22:38:52+00:00,55,1.4406258677159252,199.05469044640657
-8.045332,-34.939921,11.0,2020-07-14 22:38:54+00:00,55,1.535163487072553,200.58985393347913
-8.045343,-34.939928,11.0,2020-07-14 22:38:55+00:00,55,1.4406258456670267,202.03047977914616
-8.045354,-34.939935,11.0,2020-07-14 22:38:56+00:00,54,1.4406258344546623,203.47110561360083
-8.045364,-34.939937,11.0,2020-07-14 22:38:57+00:00,54,1.1277196934306961,204.59882530703152
-8.045375,-34.939939,11.0,2020-07-14 22:38:58+00:00,54,1.2363708259907462,205.83519613302227
-8.045385,-34.939941,11.0,2020-07-14 22:38:59+00:00,51,1.1277196922266854,206.96291582524896
-8.045396,-34.939943,11.0,2020-07-14 22:39:00+00:00,51,1.236370825175731,208.19928665042468
-8.045406,-34.939945,11.0,2020-07-14 22:39:01+00:00,51,1.1277196910217493,209.32700634144643
-8.045417,-34.939951,11.0,2020-07-14 22:39:02+00:00,51,1.3847169825689614,210.7117233240154
-8.045428,-34.939956,11.0,2020-07-14 22:39:03+00:00,50,1.3355827849831483,212.04730610899855
-8.045438,-34.939962,11.0,2020-07-14 22:39:04+00:00,50,1.2886349227704268,213.33594103176898
-8.045449,-34.939967,11.0,2020-07-14 22:39:05+00:00,50,1.3355827746737972,214.6715238064428
-8.04546,-34.939973,11.0,2020-07-14 22:39:06+00:00,49,1.3847169514201045,216.0562407578629
-8.045475,-34.939976,11.0,2020-07-14 22:39:07+00:00,49,1.6915795315608617,217.74782028942374
-8.045491,-34.939979,11.0,2020-07-14 22:39:08+00:00,49,1.8001714470360566,219.5479917364598
-8.045506,-34.939983,11.0,2020-07-14 22:39:09+00:00,48,1.7165364717019924,221.2645282081618
-8.045521,-34.939986,11.0,2020-07-14 22:39:10+00:00,48,1.691579528056735,222.95610773621854
-8.045537,-34.939993,11.0,2020-07-14 22:39:11+00:00,48,1.9304539188851046,224.88656165510363
-8.045553,-34.94,11.0,2020-07-14 22:39:12+00:00,48,1.930453908092337,226.81701556319598
