,Unnamed: 0,Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Max Speed,Average Speed,Calories,data_ano,data_mes,dia_semana,tempo_min
58,1269,13875540095,"Mar 13, 2025, 9:54:32 PM",Evening Walk,Walk,,622,1.0,153.0,3.855090618133545,1.6152633428573608,102.0,2025,3,Quinta,10.366666666666667
59,1270,13875902728,"Mar 13, 2025, 10:34:30 PM",Evening Run,Run,,1456,3.35,182.0,4.348135471343994,2.4929134845733643,307.0,2025,3,Quinta,24.266666666666666
60,1271,13911576743,"Mar 17, 2025, 9:41:47 PM",Afternoon Workout,Workout,,3829,0.0,165.0,0.0,0.0,553.0,2025,3,Segunda,63.81666666666667
61,1272,13931272864,"Mar 19, 2025, 9:31:00 PM",Evening Walk,Walk,,726,1.06,134.0,2.515743494033813,1.5013632774353027,92.0,2025,3,Quarta,12.1
62,1273,13931272991,"Mar 19, 2025, 9:43:31 PM",Evening Run,Run,,3014,6.3,181.0,3.601062536239624,2.233371019363404,610.0,2025,3,Quarta,50.23333333333333
63,1274,13949055290,"Mar 21, 2025, 9:38:36 PM",Afternoon Workout,Workout,,3743,0.0,157.0,0.0,0.0,545.0,2025,3,Sexta,62.38333333333333
64,1275,13959080681,"Mar 22, 2025, 11:09:47 PM",Evening Walk,Walk,,461,0.72,131.0,3.916293859481812,1.6272573471069336,61.0,2025,3,Sabado,7.683333333333334
65,1276,13959080733,"Mar 22, 2025, 11:17:33 PM",Evening Run,Run,,1828,4.12,166.0,4.123533725738525,2.3574838638305664,253.0,2025,3,Sabado,30.466666666666665
66,1277,13965980510,"Mar 23, 2025, 2:55:43 PM",Lunch Walk,Walk,,765,1.08,128.0,3.3523738384246826,1.5078246593475342,100.0,2025,3,Domingo,12.75
67,1278,13965980534,"Mar 23, 2025, 3:08:37 PM",Lunch Run,Run,,439,1.02,158.0,3.582426786422729,2.3867087364196777,82.0,2025,3,Domingo,7.316666666666666
68,1279,13988345111,"Mar 25, 2025, 9:22:43 PM",Evening Walk,Walk,,885,1.37,152.0,2.690646886825561,1.6233720779418943,136.0,2025,3,Terca,14.75
69,1280,13988345233,"Mar 25, 2025, 9:37:43 PM",Evening Run,Run,,1576,2.8,183.0,4.119096755981445,1.99603283405304,333.0,2025,3,Terca,26.266666666666666
70,1281,13997524712,"Mar 26, 2025, 10:05:03 PM",Afternoon Workout,Workout,,4590,0.0,174.0,0.0,0.0,583.0,2025,3,Quarta,76.5
71,1282,14006964870,"Mar 27, 2025, 10:03:26 PM",Afternoon Workout,Workout,,610,0.0,145.0,0.0,0.0,87.0,2025,3,Quinta,10.166666666666666
72,1283,14015237954,"Mar 27, 2025, 10:13:46 PM",Evening Run,Run,,3836,8.02,160.0,4.097757339477539,2.159701108932495,514.0,2025,3,Quinta,63.93333333333333
73,1284,14015237995,"Mar 28, 2025, 10:10:44 PM",Afternoon Workout,Workout,,4348,0.0,159.0,0.0,0.0,570.0,2025,3,Sexta,72.46666666666667
74,1285,14033655424,"Mar 30, 2025, 1:39:40 PM",Morning Walk,Walk,,5181,3.36,132.0,14.912923812866213,1.123510718345642,556.0,2025,3,Domingo,86.35
